Northridge Mall, 796 Northridge Mall, Salinas, CA
Salinas Valley Memorial Hospital, 450 E Romie Ln
Salinas High School, 726 S Main St
Steinbeck House, 132 Central Ave
939 Main St, Downtown
Salinas DMV, 260 E Laurel Dr
Sherwood Gardens Shopping Center, 940 N Main St
Hartnell College, 411 Central Ave, Salinas, CA

Walmart Supercenter, 1120 S Main St
Marina State Beach, 1 Dunes Dr
Vince DiMaggio Park, 3200 Del Monte Blvd
CSUMB Main Entrance, 100 Campus Center
Marina Library, 190 Seaside Cir

Seaside City Hall, 440 Harcourt Ave
Laguna Grande Regional Park, 1259 Canyon Del Rey Blvd
Seaside High School, 2200 Noche Buena St
Embassy Suites Monterey Bay, 1441 Canyon Del Rey Blvd
Seaside DMV, 1180 Canyon Del Rey Blvd

Del Monte Shopping Center, 1410 Del Monte Ctr
Fisherman's Wharf, 1 Old Fisherman's Wharf
Cannery Row, 700 Cannery Row
Monterey Bay Aquarium, 886 Cannery Row
Monterey Peninsula College, 980 Fremont St
Monterey Transit Plaza, 451 Tyler St
Custom House Plaza, 1 Custom House Plaza
